Date,Ticker Symbol,Close,Open,Volume
14-10-2011,GS,96.7300,96.7900,5558900
17-10-2011,GS,96.9000,95.5100,7227800
18-10-2011,GS,102.2500,98.1900,16780700
19-10-2011,GS,100.7900,101.5500,9959400
20-10-2011,GS,100.8600,101.6900,7351600
21-10-2011,GS,102.0900,101.7400,5858500
24-10-2011,GS,103.9800,102.6500,5616500
25-10-2011,GS,100.4400,103.0500,5153400
26-10-2011,GS,106.3300,101.9000,11753100
27-10-2011,GS,116.4000,110.3300,16427100
28-10-2011,GS,115.8600,114.3400,8249600
31-10-2011,GS,109.5500,112.7900,8076000
1-11-2011,GS,103.5400,103.4900,10230300
2-11-2011,GS,106.1300,106.4500,5604500
3-11-2011,GS,107.6800,108.0300,8295300
4-11-2011,GS,105.0400,106.3300,6078800
7-11-2011,GS,105.5700,104.9500,4698400
8-11-2011,GS,108.5800,106.4100,6138900
9-11-2011,GS,99.6700,104.9900,10599400
10-11-2011,GS,99.5000,101.8700,8537200
11-11-2011,GS,101.6600,100.8900,4771500
14-11-2011,GS,99.2900,100.5200,4831300
15-11-2011,GS,99.7500,98.3000,5665800
16-11-2011,GS,95.6000,98.8700,8895100
17-11-2011,GS,92.3500,95.9900,8997200
18-11-2011,GS,91.9100,92.4700,6229700
21-11-2011,GS,91.3000,90.1800,7803700
22-11-2011,GS,89.4000,90.7100,7089800
23-11-2011,GS,87.8900,88.9800,6609300
25-11-2011,GS,88.7500,88.0600,3674900
28-11-2011,GS,90.7800,92.7200,8732300
29-11-2011,GS,88.8100,90.3500,5882600
30-11-2011,GS,95.8600,92.4000,10872900
1-12-2011,GS,94.4300,94.5800,6040300
2-12-2011,GS,97.2500,95.5300,15124600
5-12-2011,GS,99.8200,99.5600,8528900
6-12-2011,GS,101.1600,99.6400,6406300
7-12-2011,GS,105.1300,100.2700,10623600
8-12-2011,GS,99.9200,103.6800,9221400
9-12-2011,GS,101.4500,101.1200,7016300
12-12-2011,GS,98.0300,99.3400,6134700
