Date,Close,Open,Volume,sma_10,ema,rsi,mom,next_day_close
30-03-2016,27.39,27.1625,45601224,26.61375,26.55662971,84.26720055,0.47,27.2475
31-03-2016,27.2475,27.43,25892093,26.68925,26.68224249,74.88262029,-0.1425,27.4975
01-04-2016,27.4975,27.195,25877180,26.794,26.83047113,79.81284361,0.25,27.78
04-04-2016,27.78,27.605,37356204,26.924,27.00311274,84.19490002,0.2825,27.4525
05-04-2016,27.4525,27.3775,26874194,27.0215,27.08481951,64.04789331,-0.3275,27.74
06-04-2016,27.74,27.5575,26404277,27.1275,27.20394324,71.52488353,0.2875,27.135
07-04-2016,27.135,27.4875,31910679,27.18775,27.1914081,46.23296578,-0.605,27.165
08-04-2016,27.165,27.2275,23581740,27.2625,27.18660663,47.3861549,0.03,27.255
11-04-2016,27.255,27.2425,29407518,27.35825,27.19904179,51.30284585,0.09,27.61
12-04-2016,27.61,27.335,27267325,27.42725,27.27376146,64.37770491,0.355,28.01
13-04-2016,28.01,27.7,33257316,27.48925,27.40762302,74.15227084,0.4,28.025
14-04-2016,28.025,27.905,25473923,27.567,27.51987338,74.48050885,0.015,27.4625
15-04-2016,27.4625,28.0275,46982969,27.5635,27.50944185,46.68859056,-0.5625,26.87
18-04-2016,26.87,27.2225,61131661,27.4725,27.3931797,31.3071915,-0.5925,26.7275
19-04-2016,26.7275,26.97,32384879,27.4,27.27214703,28.48587882,-0.1425,26.7825
20-04-2016,26.7825,26.66,30611053,27.30425,27.18312029,31.46558643,0.055,26.4925
21-04-2016,26.4925,26.7325,31818552,27.24,27.05755297,24.68630998,-0.29,26.42
22-04-2016,26.42,26.2525,33683121,27.1655,26.94163425,23.12906946,-0.0725,26.27
25-04-2016,26.27,26.25,28032388,27.067,26.81951893,19.88501134,-0.15,26.0875
26-04-2016,26.0875,25.9775,55988165,26.91475,26.68642458,16.38905499,-0.1825,24.455
27-04-2016,24.455,24,114602092,26.55925,26.28071102,5.526005104,-1.6325,23.7075
28-04-2016,23.7075,24.4025,82242743,26.1275,25.81285447,4.006173083,-0.7475,23.435
29-04-2016,23.435,23.4975,68714435,25.72475,25.38051729,3.560003412,-0.2725,23.41
02-05-2016,23.41,23.4912,48160404,25.37875,25.02224142,3.515108963,-0.025,23.795
03-05-2016,23.795,23.55,56833777,25.0855,24.79910662,22.3622648,0.385,23.5475
